
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treatment",="-0.0173**",="-0.0008*",="-0.0028*",="-3.7038***",="0.0008",="0.0040***"
="",="(0.0070)",="(0.0004)",="(0.0014)",="(0.9716)",="(0.0006)",="(0.0010)"

="avg_duration",="0.0116",="0.0027",="0.0035",="5.8106",="-0.0002",="-0.0060"
="",="(0.0395)",="(0.0019)",="(0.0025)",="(4.1864)",="(0.0017)",="(0.0038)"

="_cons",="129.4781*",="3.5288",="-49.3470***",="-59581.6364***",="15.5798***",="7.4892"
="",="(64.7943)",="(3.9662)",="(17.1264)",="(10916.6699)",="(4.3356)",="(8.9885)"

="N",="2456",="2452",="2448",="2453",="2452",="2456"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
