
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treatment",="-0.0262**",="-0.0016***",="-0.0038**",="-3.1455*",="0.0010**",="0.0016***"
="",="(0.0094)",="(0.0005)",="(0.0016)",="(1.5833)",="(0.0004)",="(0.0005)"

="avg_duration",="0.0209",="0.0002",="-0.0014",="0.7694",="-0.0011",="-0.0018"
="",="(0.0321)",="(0.0014)",="(0.0062)",="(4.3142)",="(0.0013)",="(0.0018)"

="_cons",="99.0630",="3.7221",="-73.5979***",="-121776.1094***",="14.8323***",="9.6179**"
="",="(59.8809)",="(2.8223)",="(11.0302)",="(6516.6676)",="(2.5705)",="(3.5718)"

="N",="2455",="2452",="2451",="2441",="2454",="2455"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
