
="",="(1)",="(2)",="(3)"
="",="a_unemployed",="a_nilf",="a_nini"

="treatment",="0.0008*",="0.0009",="0.0028***"
="",="(0.0005)",="(0.0010)",="(0.0008)"

="pa_days_lost",="0.0004",="0.0046**",="0.0012"
="",="(0.0013)",="(0.0017)",="(0.0016)"

="pbi_pc",="-0.0141",="0.0814**",="0.0301"
="",="(0.0328)",="(0.0369)",="(0.0531)"

="_cons",="0.1912***",="0.3086***",="0.3999***"
="",="(0.0262)",="(0.0251)",="(0.0414)"

="N",="2456",="2460",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
