
="",="(1)",="(2)",="(3)"
="",="a_unemployed",="a_nilf",="a_nini"

="treatment",="0.0007**",="-0.0003",="0.0009"
="",="(0.0003)",="(0.0005)",="(0.0005)"

="pa_days_lost",="0.0001",="0.0016",="-0.0008"
="",="(0.0004)",="(0.0011)",="(0.0008)"

="pbi_pc",="0.0166",="-0.0025",="0.0374"
="",="(0.0174)",="(0.0218)",="(0.0242)"

="_cons",="0.0868***",="0.0225",="0.0730***"
="",="(0.0127)",="(0.0145)",="(0.0168)"

="N",="2458",="2459",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
