
="",="(1)",="(2)",="(3)"
="",="a_log_ila",="a_log_wage",="a_ila_tot"

="treatment",="-0.0019",="-0.0017*",="-1.7716**"
="",="(0.0014)",="(0.0010)",="(0.6630)"

="pa_days_lost",="-0.0051**",="-0.0028",="-4.0048**"
="",="(0.0024)",="(0.0024)",="(1.6620)"

="pbi_pc",="-0.0967",="-0.0783*",="-97.6534"
="",="(0.1180)",="(0.0410)",="(57.6139)"

="_cons",="6.0442***",="1.0577***",="33.7051*"
="",="(0.0751)",="(0.0706)",="(17.6540)"

="N",="2386",="2452",="2457"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
