
="",="(1)",="(2)",="(3)"
="",="a_index1",="a_hstrt",="a_informal_prod"

="treatment",="-0.0004",="-0.0202",="0.0019**"
="",="(0.0004)",="(0.0573)",="(0.0009)"

="pa_days_lost",="-0.0007",="-0.1552",="-0.0008"
="",="(0.0009)",="(0.1097)",="(0.0018)"

="pbi_pc",="-0.0825**",="-2.0063",="0.0402"
="",="(0.0355)",="(3.3797)",="(0.0618)"

="_cons",="0.2983***",="16.4453***",="0.3061***"
="",="(0.0203)",="(1.6405)",="(0.0294)"

="N",="2456",="2460",="2456"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
