
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treatment",="-0.0176***",="-0.0003",="-0.0020***",="-2.5964***",="0.0010**",="0.0029***"
="",="(0.0053)",="(0.0003)",="(0.0007)",="(0.6296)",="(0.0004)",="(0.0007)"

="_cons",="122.7111*",="2.6516",="-50.9869***",="-64819.7471***",="16.3594***",="8.3303"
="",="(61.9584)",="(3.8359)",="(16.6634)",="(11703.5149)",="(4.2793)",="(8.6786)"

="N",="2567",="2563",="2559",="2564",="2563",="2567"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
