
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treatment",="-0.0233***",="-0.0015***",="-0.0034***",="-2.1796*",="0.0008***",="0.0006"
="",="(0.0064)",="(0.0004)",="(0.0010)",="(1.1480)",="(0.0003)",="(0.0004)"

="_cons",="88.7398",="3.2025",="-74.7003***",="-126577.7053***",="14.9787***",="9.9155***"
="",="(56.5012)",="(2.6859)",="(10.9104)",="(8041.3346)",="(2.4308)",="(3.3562)"

="N",="2566",="2563",="2562",="2552",="2565",="2566"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
