
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)"
="",="ila_tot_10",="ila_tot_20",="ila_tot_30",="ila_tot_40",="ila_tot_50",="ila_tot_60",="ila_tot_70",="ila_tot_80",="ila_tot_90",="log_wage_10",="log_wage_20",="log_wage_30",="log_wage_40",="log_wage_50",="log_wage_60",="log_wage_70",="log_wage_80",="log_wage_90",="aedu_10",="aedu_20",="aedu_30",="aedu_40",="aedu_50",="aedu_60",="aedu_70",="aedu_80",="aedu_90"

="treatment",="0.1124",="0.3500",="-0.1029",="-1.9948",="-2.5112",="-2.2716",="-3.7088***",="-3.0896**",="-2.6939",="0.0007",="0.0002",="-0.0007",="-0.0023*",="-0.0025*",="-0.0032**",="-0.0023*",="-0.0033**",="-0.0024",="-0.0192***",="-0.0189",="-0.0094",="-0.0358**",="-0.0353***",="-0.0502***",="-0.0298**",="-0.0266**",="0.0077"
="",="(0.0809)",="(0.3086)",="(0.9459)",="(1.6393)",="(1.7018)",="(1.5444)",="(1.2367)",="(1.3278)",="(2.2239)",="(0.0029)",="(0.0021)",="(0.0015)",="(0.0012)",="(0.0013)",="(0.0012)",="(0.0012)",="(0.0012)",="(0.0022)",="(0.0062)",="(0.0192)",="(0.0268)",="(0.0149)",="(0.0081)",="(0.0107)",="(0.0125)",="(0.0108)",="(0.0059)"

="_cons",="19.1027",="-791.1090",="-3793.1461",="-12956.4516",="-46927.0030***",="-67074.2775***",="-89166.0708***",="-118106.7313***",="-149976.8841***",="-28.2820",="-44.5981*",="-45.3684***",="-52.5083***",="-55.8278***",="-51.8320**",="-51.2724**",="-49.9111**",="-53.6644**",="47.5963",="93.3461",="90.3253",="41.5580",="97.5052",="268.0258***",="191.9456",="163.6852**",="72.6434"
="",="(402.2850)",="(1353.8545)",="(5050.6630)",="(11834.3243)",="(13268.9154)",="(12092.6146)",="(15085.7351)",="(20403.4329)",="(29563.7260)",="(29.1584)",="(24.3382)",="(14.7998)",="(15.0490)",="(15.7524)",="(21.1815)",="(23.7205)",="(20.8719)",="(23.2241)",="(83.2577)",="(110.2953)",="(194.8959)",="(104.1105)",="(77.8230)",="(69.5912)",="(116.0075)",="(71.5053)",="(76.6241)"

="N",="2457",="2457",="2457",="2457",="2457",="2457",="2457",="2457",="2457",="2452",="2452",="2452",="2452",="2452",="2452",="2452",="2452",="2452",="2460",="2460",="2460",="2460",="2460",="2460",="2460",="2460",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
