
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)"
="",="ila_tot_10",="ila_tot_20",="ila_tot_30",="ila_tot_40",="ila_tot_50",="ila_tot_60",="ila_tot_70",="ila_tot_80",="ila_tot_90",="log_wage_10",="log_wage_20",="log_wage_30",="log_wage_40",="log_wage_50",="log_wage_60",="log_wage_70",="log_wage_80",="log_wage_90",="aedu_10",="aedu_20",="aedu_30",="aedu_40",="aedu_50",="aedu_60",="aedu_70",="aedu_80",="aedu_90"

="treatment",="0.4335",="-0.2279",="-1.2914",="-1.0951",="-1.4115*",="-2.1427**",="-3.0227**",="-2.6077",="-5.3086",="0.0025",="-0.0023*",="-0.0041***",="-0.0042***",="-0.0045***",="-0.0048***",="-0.0047**",="-0.0040*",="-0.0039",="-0.0126",="-0.0259***",="-0.0411**",="-0.0292*",="-0.0254*",="-0.0297***",="-0.0338***",="-0.0415***",="-0.0226*"
="",="(1.6697)",="(1.0347)",="(0.8540)",="(0.8211)",="(0.8208)",="(0.9267)",="(1.4048)",="(1.9498)",="(4.1192)",="(0.0020)",="(0.0012)",="(0.0011)",="(0.0010)",="(0.0011)",="(0.0012)",="(0.0018)",="(0.0022)",="(0.0023)",="(0.0080)",="(0.0080)",="(0.0158)",="(0.0141)",="(0.0126)",="(0.0097)",="(0.0080)",="(0.0125)",="(0.0110)"

="_cons",="-35359.2876***",="-63848.2977***",="-76722.8379***",="-95669.3742***",="-113660.1956***",="-139294.9910***",="-158669.6595***",="-175973.9963***",="-241816.3493***",="-98.4431***",="-102.9562***",="-98.1406***",="-78.6009***",="-75.4155***",="-69.7050***",="-62.8739***",="-49.5307**",="-48.5787***",="-4.0056",="-12.3733",="-164.0498",="0.5635",="133.4571",="202.2307",="265.0502***",="334.6971***",="404.1019***"
="",="(7335.3766)",="(9057.1001)",="(6100.3493)",="(6798.6321)",="(7719.8302)",="(7281.0006)",="(11207.2604)",="(11995.8271)",="(23097.8216)",="(15.8847)",="(13.2605)",="(14.6134)",="(11.7920)",="(11.3443)",="(14.2528)",="(15.6109)",="(19.5591)",="(17.1849)",="(69.1530)",="(67.3720)",="(102.1061)",="(85.9147)",="(126.1466)",="(147.5380)",="(76.5980)",="(105.9268)",="(138.5440)"

="N",="2445",="2445",="2445",="2445",="2445",="2445",="2445",="2445",="2445",="2455",="2455",="2455",="2455",="2455",="2455",="2455",="2455",="2455",="2459",="2459",="2459",="2459",="2459",="2459",="2459",="2459",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
