
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="independent",="casado",="nro_kids",="kid_older",="ipcf",="edu_partner"

="treatment",="-0.0010",="-0.0004",="0.0041",="0.0195",="-0.0031**",="-0.0370***"
="",="(0.0007)",="(0.0006)",="(0.0028)",="(0.0173)",="(0.0014)",="(0.0104)"

="_cons",="-16.1810***",="-1.6936",="34.8447**",="-196.7168**",="-52.6538***",="304.0185***"
="",="(5.2789)",="(6.4618)",="(15.9425)",="(78.5798)",="(17.8422)",="(72.6970)"

="N",="2460",="2460",="2460",="2448",="2460",="2449"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
