
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="strike_early",="-0.0295***",="-0.0015**",="-0.0039**",="-1.5495",="0.0011**",="0.0010*"
="",="(0.0099)",="(0.0006)",="(0.0015)",="(1.4588)",="(0.0004)",="(0.0006)"

="strike_late",="-0.0240***",="-0.0014***",="-0.0027",="-1.8088",="0.0006",="0.0008"
="",="(0.0073)",="(0.0004)",="(0.0021)",="(1.5825)",="(0.0004)",="(0.0006)"

="_cons",="98.3161",="3.7166",="-73.6361***",="-122072.7384***",="14.8810***",="9.7877**"
="",="(59.2918)",="(2.8179)",="(11.0313)",="(6622.3181)",="(2.5557)",="(3.5986)"

="N",="2459",="2456",="2455",="2445",="2458",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
