
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0217***",="-0.0003",="-0.0019*",="-1.9064***",="0.0009*",="0.0027***"
="",="(0.0062)",="(0.0004)",="(0.0010)",="(0.6236)",="(0.0004)",="(0.0007)"

="_cons",="128.7986*",="3.2403",="-49.5711***",="-60099.6084***",="15.5607***",="7.9480"
="",="(63.3739)",="(3.9704)",="(17.1082)",="(11106.8434)",="(4.3651)",="(9.0788)"

="N",="2460",="2456",="2452",="2457",="2456",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
