
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0227***",="-0.0004",="-0.0021*",="-2.1205***",="0.0008",="0.0027***"
="",="(0.0070)",="(0.0004)",="(0.0011)",="(0.6666)",="(0.0005)",="(0.0008)"

="_cons",="7.4515",="-0.0216",="-51.6239***",="-65235.4711***",="7.0653",="-2.9876"
="",="(69.1452)",="(5.0497)",="(16.2313)",="(12301.9740)",="(5.6097)",="(9.9474)"

="N",="2353",="2349",="2345",="2350",="2349",="2353"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
