
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0235***",="-0.0012***",="-0.0034**",="-0.6997",="0.0005*",="0.0007"
="",="(0.0069)",="(0.0004)",="(0.0016)",="(1.1583)",="(0.0003)",="(0.0006)"

="_cons",="-74.6834",="-3.2563",="-68.7582***",="-125508.5070***",="10.6607***",="13.6732***"
="",="(74.8755)",="(3.3048)",="(15.3632)",="(8420.2248)",="(3.3164)",="(4.7320)"

="N",="2352",="2349",="2348",="2338",="2351",="2352"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
