
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0234***",="-0.0013***",="-0.0030**",="-1.5504",="0.0009***",="0.0011*"
="",="(0.0055)",="(0.0004)",="(0.0014)",="(1.4377)",="(0.0003)",="(0.0006)"

="_cons",="33.6295",="0.6059",="-80.2054***",="-126178.6501***",="13.4377***",="7.8474*"
="",="(45.6645)",="(2.0890)",="(10.1592)",="(7553.2778)",="(2.7442)",="(3.8236)"

="N",="1924",="1921",="1920",="1917",="1923",="1924"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
