
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0203***",="-0.0001",="-0.0016",="-1.3777",="0.0009",="0.0033***"
="",="(0.0068)",="(0.0006)",="(0.0014)",="(0.8659)",="(0.0007)",="(0.0010)"

="_cons",="88.2795",="-25.0961",="-17.5769",="47492.8151",="-22.8206",="-13.7285"
="",="(325.7906)",="(39.2020)",="(88.1770)",="(37744.5813)",="(40.9959)",="(48.7556)"

="N",="1495",="1494",="1493",="1495",="1494",="1495"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
