
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0216***",="-0.0015***",="-0.0023**",="-1.8006",="0.0008**",="0.0012**"
="",="(0.0074)",="(0.0004)",="(0.0010)",="(1.1935)",="(0.0004)",="(0.0004)"

="_cons",="259.0690",="4.9282",="-1.5247",="65677.9078",="-16.8028",="-29.6301"
="",="(468.5194)",="(19.4560)",="(79.4261)",="(80550.2083)",="(21.8705)",="(20.2266)"

="N",="1494",="1493",="1493",="1494",="1493",="1494"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
