
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0119",="0.0002",="-0.0020*",="-2.9745***",="0.0014**",="0.0037***"
="",="(0.0090)",="(0.0006)",="(0.0011)",="(0.7630)",="(0.0005)",="(0.0008)"

="_cons",="2168.4334",="5058.7936",="20294.9937",="-2841712.0197",="-6505.0839",="3641.8975"
="",="(79902.3446)",="(5260.6663)",="(19603.1042)",="(8318123.2564)",="(7173.0989)",="(9193.7314)"

="N",="2460",="2456",="2452",="2457",="2456",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
