
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0192*",="-0.0017***",="-0.0045**",="-3.9414*",="0.0007*",="0.0008"
="",="(0.0094)",="(0.0005)",="(0.0020)",="(1.9962)",="(0.0004)",="(0.0006)"

="_cons",="29625.1443",="-1589.4319",="-1247.2524",="1954863.4096",="-406.1254",="-1441.8710"
="",="(47914.5472)",="(2550.8687)",="(14184.8604)",="(12428297.2151)",="(3167.4343)",="(4174.4177)"

="N",="2459",="2456",="2455",="2445",="2458",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
