
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0212***",="-0.0001",="-0.0019*",="-1.6835**",="0.0007*",="0.0026***"
="",="(0.0065)",="(0.0004)",="(0.0010)",="(0.7855)",="(0.0004)",="(0.0009)"

="_cons",="126.4304*",="2.9811",="-50.0159***",="-60047.8841***",="15.6689***",="7.8967"
="",="(64.3440)",="(3.9235)",="(17.2603)",="(11150.2333)",="(4.1214)",="(9.0380)"

="N",="2439",="2435",="2431",="2436",="2435",="2439"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
