
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0288***",="-0.0016***",="-0.0036**",="-1.7175",="0.0006*",="0.0008"
="",="(0.0070)",="(0.0005)",="(0.0015)",="(1.6124)",="(0.0004)",="(0.0006)"

="_cons",="93.9489",="3.5825",="-73.9030***",="-122049.5965***",="15.1349***",="10.0885***"
="",="(59.1512)",="(2.7799)",="(11.0210)",="(6564.2006)",="(2.5260)",="(3.5521)"

="N",="2438",="2435",="2434",="2424",="2437",="2438"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
