
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="edu_pub1",="edu_pub2",="aedu1",="aedu2",="nini1",="nini2",="drop_out1",="drop_out2"

="treatment",="-0.0074*",="-0.0061",="-0.0052",="-0.0064",="0.0021*",="0.0022*",="0.0032**",="0.0032**"
="",="(0.0041)",="(0.0036)",="(0.0102)",="(0.0106)",="(0.0012)",="(0.0012)",="(0.0014)",="(0.0015)"

="pa_days_lost",="0.0002",="-0.0000",="-0.0013",="-0.0011",="-0.0002",="-0.0002",="-0.0002",="-0.0003"
="",="(0.0003)",="(0.0003)",="(0.0012)",="(0.0011)",="(0.0001)",="(0.0001)",="(0.0002)",="(0.0002)"

="_cons",="-34.3808**",="-59.5792***",="-1385.6475***",="-1371.2031***",="-139.9850***",="-143.5429***",="-122.4221***",="-125.5635***"
="",="(13.6377)",="(20.5736)",="(75.2738)",="(70.1215)",="(9.3336)",="(8.9345)",="(9.7110)",="(9.2814)"

="N",="109569",="109564",="115477",="115451",="116441",="116415",="116446",="116420"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
