
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="edu_pub1",="edu_pub2",="aedu1",="aedu2",="nini1",="nini2",="drop_out1",="drop_out2"

="treatment",="-0.0025",="-0.0014",="-0.0237*",="-0.0245*",="0.0018",="0.0018",="0.0031",="0.0031"
="",="(0.0030)",="(0.0028)",="(0.0130)",="(0.0119)",="(0.0016)",="(0.0015)",="(0.0023)",="(0.0023)"

="pa_days_lost",="0.0000",="-0.0002",="0.0029*",="0.0032**",="-0.0001",="-0.0002",="-0.0002",="-0.0002"
="",="(0.0002)",="(0.0003)",="(0.0014)",="(0.0013)",="(0.0002)",="(0.0002)",="(0.0002)",="(0.0002)"

="_cons",="-1.4828",="-34.2971*",="-1160.0430***",="-1142.9506***",="-108.0529***",="-110.6532***",="-183.8061***",="-187.9926***"
="",="(13.5758)",="(17.1413)",="(97.1953)",="(71.2878)",="(9.7973)",="(9.3755)",="(20.0264)",="(18.9320)"

="N",="111625",="111619",="119453",="119447",="120802",="120796",="120815",="120809"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
