
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="independent",="casado",="nro_kids",="kid_older",="ipcf",="edu_partner"

="treatment",="-0.0015",="-0.0005",="0.0030",="0.0083",="-0.0048**",="-0.0068"
="",="(0.0009)",="(0.0007)",="(0.0030)",="(0.0101)",="(0.0018)",="(0.0093)"

="_cons",="-31.1946***",="-11.4230**",="-131.9997***",="-554.2863***",="-40.7727**",="181.0673***"
="",="(4.2285)",="(4.8732)",="(18.5633)",="(81.9815)",="(16.0891)",="(60.6779)"

="N",="2459",="2459",="2459",="2435",="2459",="2443"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
