
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="strike_early",="-0.0355***",="-0.0011*",="-0.0035**",="-3.2691***",="0.0013*",="0.0027**"
="",="(0.0074)",="(0.0006)",="(0.0013)",="(0.9841)",="(0.0007)",="(0.0013)"

="strike_late",="-0.0126*",="0.0003",="-0.0008",="-0.9976",="0.0006",="0.0026***"
="",="(0.0065)",="(0.0006)",="(0.0012)",="(0.8975)",="(0.0005)",="(0.0008)"

="_cons",="130.7323*",="3.3559",="-49.3500***",="-59905.2514***",="15.4952***",="7.9405"
="",="(63.2794)",="(3.9722)",="(17.0202)",="(11072.9791)",="(4.3227)",="(9.1131)"

="N",="2460",="2456",="2452",="2457",="2456",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
