
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0228***",="-0.0003",="-0.0026**",="-2.0903***",="0.0007*",="0.0028***"
="",="(0.0060)",="(0.0004)",="(0.0011)",="(0.6843)",="(0.0004)",="(0.0008)"

="_cons",="174.4211***",="5.4213",="-44.1940**",="-58317.6994***",="14.0945***",="4.8379"
="",="(59.4847)",="(3.8921)",="(17.8938)",="(12142.8279)",="(4.5998)",="(9.6361)"

="N",="1925",="1921",="1917",="1923",="1921",="1925"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
