
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="fake_treat",="-0.0105",="-0.0009",="0.0005",="-0.6466",="-0.0001",="0.0002"
="",="(0.0089)",="(0.0006)",="(0.0016)",="(1.1299)",="(0.0004)",="(0.0008)"

="fake_pa",="0.0276",="0.0007",="-0.0043",="0.4270",="0.0014",="-0.0025"
="",="(0.0200)",="(0.0013)",="(0.0036)",="(1.7136)",="(0.0008)",="(0.0022)"

="fake_gdp",="0.3781",="0.0151",="0.2586*",="128.6930",="0.0178",="-0.0475"
="",="(0.5937)",="(0.0446)",="(0.1321)",="(82.1261)",="(0.0185)",="(0.0402)"

="_cons",="214.3879***",="6.8673",="-34.0099**",="-66330.4653***",="18.8860***",="8.6409"
="",="(49.3355)",="(7.2337)",="(14.0144)",="(7891.1472)",="(4.9209)",="(6.3999)"

="N",="2457",="2451",="2446",="2451",="2452",="2456"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
