
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="fake_treat",="-0.0048",="0.0005",="0.0017",="-2.1531*",="-0.0002",="0.0002"
="",="(0.0102)",="(0.0003)",="(0.0011)",="(1.1571)",="(0.0002)",="(0.0004)"

="fake_pa",="0.0532**",="-0.0002",="0.0027",="7.3188***",="-0.0010**",="-0.0023***"
="",="(0.0216)",="(0.0009)",="(0.0019)",="(1.7618)",="(0.0004)",="(0.0006)"

="fake_gdp",="1.5312***",="0.0762**",="0.0705",="206.3193**",="-0.0048",="-0.0276"
="",="(0.5352)",="(0.0298)",="(0.1360)",="(87.9443)",="(0.0106)",="(0.0270)"

="_cons",="-44.9689",="-5.9808**",="-71.6044***",="-140858.8783***",="6.0913**",="4.3441"
="",="(102.4626)",="(2.6677)",="(11.0011)",="(12102.3421)",="(2.5338)",="(2.5368)"

="N",="2455",="2452",="2450",="2431",="2453",="2455"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
