
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="pre_treat",="-0.0026",="-0.0016",="-0.0025",="-2.8180",="0.0008",="0.0006"
="",="(0.0291)",="(0.0030)",="(0.0086)",="(4.3670)",="(0.0023)",="(0.0054)"

="_cons",="124.1747",="-2.5338",="-50.4258**",="28215.1813**",="-15.3083**",="-25.2716***"
="",="(104.0596)",="(7.3244)",="(18.0991)",="(10511.8551)",="(6.3470)",="(7.3343)"

="N",="483",="483",="483",="483",="483",="483"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
