
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="pre_treat",="0.0440",="0.0022",="-0.0017",="-1.9612",="0.0010",="-0.0019"
="",="(0.0368)",="(0.0023)",="(0.0057)",="(4.2454)",="(0.0016)",="(0.0014)"

="_cons",="253.6471***",="7.5862**",="24.5318",="-14049.2291",="-3.6895",="1.6738"
="",="(52.0164)",="(3.6458)",="(15.1722)",="(16921.1497)",="(2.4304)",="(3.2228)"

="N",="482",="482",="482",="482",="482",="482"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
