
="",="(1)",="(2)",="(3)"
="",="a_sec_com",="a_supc",="a_aedu"

="treatment",="-0.0029**",="-0.0010",="-0.0238***"
="",="(0.0011)",="(0.0008)",="(0.0057)"

="pa_days_lost",="0.0009",="-0.0021*",="0.0092"
="",="(0.0018)",="(0.0011)",="(0.0124)"

="pbi_pc",="-0.0276",="-0.1387",="-0.8377"
="",="(0.0626)",="(0.0820)",="(0.5733)"

="_cons",="0.5448***",="0.2390***",="11.8927***"
="",="(0.0326)",="(0.0264)",="(0.2485)"

="N",="2460",="2460",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
