
="",="(1)",="(2)",="(3)"
="",="a_sec_com",="a_supc",="a_aedu"

="treatment",="-0.0029**",="-0.0023***",="-0.0262***"
="",="(0.0014)",="(0.0007)",="(0.0069)"

="pa_days_lost",="-0.0008",="-0.0018",="-0.0016"
="",="(0.0025)",="(0.0011)",="(0.0131)"

="pbi_pc",="-0.2049***",="-0.0921**",="-1.5185***"
="",="(0.0663)",="(0.0441)",="(0.3709)"

="_cons",="0.4900***",="0.1551***",="11.2272***"
="",="(0.0299)",="(0.0211)",="(0.1963)"

="N",="2459",="2459",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
