
="",="(1)",="(2)",="(3)"
="",="a_log_ila",="a_log_wage",="a_ila_tot"

="treatment",="-0.0023*",="-0.0032***",="-1.6533"
="",="(0.0012)",="(0.0011)",="(1.2635)"

="pa_days_lost",="-0.0027",="-0.0020",="-3.0587"
="",="(0.0023)",="(0.0037)",="(2.5754)"

="pbi_pc",="-0.1257",="-0.0429",="-87.5496"
="",="(0.1478)",="(0.0978)",="(84.6568)"

="_cons",="6.3903***",="0.9570***",="29.3997"
="",="(0.0660)",="(0.0465)",="(25.5606)"

="N",="2386",="2455",="2445"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
