
="",="(1)",="(2)",="(3)"
="",="a_index1",="a_hstrt",="a_informal_prod"

="treatment",="-0.0014***",="-0.0084",="-0.0001"
="",="(0.0005)",="(0.0424)",="(0.0011)"

="pa_days_lost",="-0.0006",="-0.1180",="0.0010"
="",="(0.0010)",="(0.0926)",="(0.0024)"

="pbi_pc",="-0.0533**",="1.5021",="0.0278"
="",="(0.0199)",="(3.5348)",="(0.0874)"

="_cons",="0.1509***",="38.1108***",="0.3746***"
="",="(0.0097)",="(1.4749)",="(0.0524)"

="N",="2456",="2459",="2455"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
