
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treatment",="-0.0217***",="-0.0003",="-0.0019*",="-1.9064***",="0.0009*",="0.0027***"
="",="(0.0062)",="(0.0004)",="(0.0010)",="(0.6236)",="(0.0004)",="(0.0007)"

="pa_days_lost",="0.0121",="-0.0005",="-0.0012",="-3.3382**",="0.0002",="0.0009"
="",="(0.0110)",="(0.0009)",="(0.0020)",="(1.4787)",="(0.0014)",="(0.0014)"

="pbi_pc",="-0.7139",="-0.0662*",="-0.0531",="-74.3703",="-0.0049",="0.0406"
="",="(0.4904)",="(0.0365)",="(0.0468)",="(62.6525)",="(0.0328)",="(0.0546)"

="_cons",="128.7986*",="3.2403",="-49.5711***",="-60099.6084***",="15.5607***",="7.9480"
="",="(63.3739)",="(3.9704)",="(17.1082)",="(11106.8434)",="(4.3651)",="(9.0788)"

="N",="2460",="2456",="2452",="2457",="2456",="2460"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
