
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="edu_pub3",="edu_pub4",="aedu3",="aedu4",="nini3",="nini4",="drop_out3",="drop_out4"

="te_1",="-0.0088**",="",="-0.0257",="",="0.0011",="",="0.0023",=""
="",="(0.0038)",="",="(0.0202)",="",="(0.0025)",="",="(0.0027)",=""

="te_2",="-0.0089**",="",="-0.0078",="",="0.0029*",="",="0.0041**",=""
="",="(0.0035)",="",="(0.0122)",="",="(0.0016)",="",="(0.0019)",=""

="te_3",="-0.0038",="",="-0.0101",="",="0.0017",="",="0.0028*",=""
="",="(0.0034)",="",="(0.0136)",="",="(0.0011)",="",="(0.0014)",=""

="te_4",="-0.0027",="",="0.0031",="",="0.0024*",="",="0.0031**",=""
="",="(0.0034)",="",="(0.0101)",="",="(0.0013)",="",="(0.0014)",=""

="te_5",="-0.0051",="",="0.0066",="",="0.0012",="",="0.0021**",=""
="",="(0.0060)",="",="(0.0082)",="",="(0.0009)",="",="(0.0010)",=""

="pa_days_lost",="0.0001",="-0.0001",="-0.0013",="-0.0009",="-0.0002",="-0.0003*",="-0.0002",="-0.0003*"
="",="(0.0003)",="(0.0003)",="(0.0012)",="(0.0011)",="(0.0001)",="(0.0001)",="(0.0002)",="(0.0002)"

="tq_1",="",="-0.0110**",="",="-0.0221",="",="0.0033*",="",="0.0050**"
="",="",="(0.0052)",="",="(0.0165)",="",="(0.0017)",="",="(0.0020)"

="tq_2",="",="-0.0078*",="",="-0.0070",="",="0.0025",="",="0.0033*"
="",="",="(0.0040)",="",="(0.0097)",="",="(0.0015)",="",="(0.0017)"

="tq_3",="",="-0.0020",="",="-0.0004",="",="0.0017",="",="0.0024*"
="",="",="(0.0022)",="",="(0.0101)",="",="(0.0011)",="",="(0.0012)"

="tq_4",="",="-0.0052",="",="0.0026",="",="0.0012",="",="0.0023**"
="",="",="(0.0059)",="",="(0.0090)",="",="(0.0008)",="",="(0.0010)"

="_cons",="-46.4364**",="-51.3270***",="-1387.1450***",="-1371.1657***",="-142.1073***",="-143.5578***",="-124.2478***",="-125.5699***"
="",="(21.7103)",="(17.3066)",="(69.2149)",="(74.6940)",="(8.8284)",="(9.5738)",="(9.1330)",="(10.0855)"

="N",="109569",="109564",="115476",="115451",="116440",="116415",="116445",="116420"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
