
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treat_primary",="-0.0188**",="0.0003",="0.0001",="-1.9758*",="0.0015***",="0.0024**"
="",="(0.0076)",="(0.0006)",="(0.0018)",="(1.1483)",="(0.0005)",="(0.0010)"

="treat_secondary",="0.0020",="0.0006",="0.0033",="-0.2375",="0.0007",="-0.0004"
="",="(0.0093)",="(0.0007)",="(0.0019)",="(1.0948)",="(0.0005)",="(0.0010)"

="_cons",="116.9738*",="2.9167",="-49.2364***",="-63833.9699***",="16.4610***",="7.8553"
="",="(64.2095)",="(3.8676)",="(16.8748)",="(11834.5296)",="(4.3043)",="(8.6447)"

="N",="2567",="2563",="2559",="2564",="2563",="2567"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
