
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="a_aedu",="a_index1",="a_log_wage",="a_ila_tot",="a_unemployed",="a_nini"

="treat_primary",="-0.0157",="-0.0012*",="-0.0023",="-2.0373",="0.0013***",="0.0019***"
="",="(0.0119)",="(0.0006)",="(0.0025)",="(1.4239)",="(0.0004)",="(0.0006)"

="treat_secondary",="0.0131",="0.0003",="0.0021",="0.2899",="0.0007",="0.0013*"
="",="(0.0130)",="(0.0007)",="(0.0029)",="(2.9300)",="(0.0005)",="(0.0008)"

="_cons",="92.3295",="3.5259",="-72.8510***",="-125406.8247***",="15.2569***",="10.8293***"
="",="(55.7941)",="(2.6607)",="(10.7191)",="(8428.3980)",="(2.4067)",="(3.5104)"

="N",="2566",="2563",="2562",="2552",="2565",="2566"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
